src,dst,distance_km
ATL,BOS,1521.555867
ATL,CLT,364.5675836
ATL,DEN,1926.620489
ATL,DFW,1174.533446
ATL,DTW,958.198915
ATL,EWR,1199.318011
ATL,FLL,936.4426544
ATL,IAH,1107.564105
ATL,JFK,1222.095127
ATL,LAS,2804.831783
ATL,LAX,3125.780844
ATL,MCO,650.7372434
ATL,MIA,959.0658848
ATL,MSP,1459.720143
ATL,ORD,976.3291777
ATL,PHL,1071.594433
ATL,PHX,2549.084751
ATL,SEA,3504.981899
ATL,SLC,2553.607713
BOS,ATL,1521.555867
BOS,CLT,1170.676743
BOS,DEN,2815.735219
BOS,DFW,2509.272371
BOS,DTW,1014.992403
BOS,EWR,322.3066245
BOS,FLL,1994.305667
BOS,IAH,2567.648966
BOS,JFK,300.1783917
BOS,LAS,3822.676127
BOS,LAX,4193.034879
BOS,MCO,1805.977257
BOS,MIA,2028.284347
BOS,MSP,1804.23379
BOS,ORD,1391.080247
BOS,PHL,450.1425979
BOS,PHX,3693.780522
BOS,SEA,4005.514368
BOS,SLC,3379.558692
CLT,ATL,364.5675836
CLT,DEN,2148.205056
CLT,DFW,1503.209004
CLT,DTW,805.6972527
CLT,EWR,850.2875701
CLT,FLL,1019.27527
CLT,IAH,1466.898731
CLT,JFK,870.5304138
CLT,LAS,3076.591945
CLT,LAX,3412.538899
CLT,MCO,755.2039579
CLT,MIA,1049.401734
CLT,MSP,1496.075282
CLT,ORD,964.5800038
CLT,PHL,721.4742188
CLT,PHX,2848.386651
CLT,SEA,3660.410685
CLT,SLC,2773.597843
DEN,ATL,1926.620489
DEN,BOS,2815.735219
DEN,CLT,2148.205056
DEN,DFW,1032.09943
DEN,DTW,1802.29925
DEN,EWR,2576.409993
DEN,FLL,2739.036827
DEN,IAH,1387.496145
DEN,LAS,1009.366015
DEN,LAX,1385.141119
DEN,MCO,2486.349374
DEN,MIA,2748.695757
DEN,MSP,1092.353974
DEN,ORD,1426.023984
DEN,PHL,2500.394051
DEN,PHX,968.5390932
DEN,SEA,1645.068105
DEN,SLC,627.5906906
DFW,ATL,1174.533446
DFW,CLT,1503.209004
DFW,DTW,1586.421013
DFW,EWR,2204.793186
DFW,FLL,1798.92644
DFW,IAH,361.6211134
DFW,JFK,2234.899219
DFW,LAS,1694.802264
DFW,LAX,1983.177214
DFW,MCO,1582.417917
DFW,MIA,1802.171173
DFW,MSP,1372.579811
DFW,ORD,1290.647088
DFW,PHL,2092.879548
DFW,PHX,1393.867594
DFW,SEA,2668.156672
DFW,SLC,1589.46656
DTW,CLT,805.6972527
DTW,DEN,1802.29925
DTW,DFW,1586.421013
DTW,EWR,783.4756233
DTW,FLL,1818.299868
DTW,IAH,1730.875077
DTW,JFK,816.724055
DTW,LAS,2808.023523
DTW,LAX,3178.042493
DTW,MCO,1543.649352
DTW,MIA,1847.083048
DTW,MSP,848.2461779
DTW,ORD,376.3891526
DTW,PHL,728.0532405
DTW,PHX,2683.983354
DTW,SEA,3093.011827
DTW,SLC,2377.89482
EWR,ATL,1199.318011
EWR,BOS,322.3066245
EWR,CLT,850.2875701
EWR,DFW,2204.793186
EWR,DTW,783.4756233
EWR,FLL,1716.835197
EWR,IAH,2250.548195
EWR,LAS,3576.004731
EWR,LAX,3941.015735
EWR,MCO,1510.883911
EWR,MIA,1750.598704
EWR,MSP,1618.727679
EWR,ORD,1154.455228
EWR,PHX,3425.371622
EWR,SEA,3854.819501
EWR,SLC,3160.250611
FLL,ATL,936.4426544
FLL,CLT,1019.27527
FLL,JFK,1723.291659
FLL,LAS,3492.105361
FLL,LAX,3763.228383
FLL,MCO,285.901791
FLL,ORD,1905.395995
FLL,PHL,1600.629674
FLL,PHX,3168.913504
FLL,SLC,3349.473622
IAH,ATL,1107.564105
IAH,BOS,2567.648966
IAH,CLT,1466.898731
IAH,DFW,361.6211134
IAH,DTW,1730.875077
IAH,FLL,1551.536972
IAH,LAS,1962.791918
IAH,LAX,2215.076542
IAH,MCO,1372.002301
IAH,MIA,1549.407689
IAH,MSP,1666.913962
IAH,ORD,1490.653941
IAH,PHL,2129.48645
IAH,PHX,1620.967994
IAH,SEA,3013.409303
IAH,SLC,1922.351611
JFK,ATL,1222.095127
JFK,CLT,870.5304138
JFK,DEN,2609.7857
JFK,DFW,2234.899219
JFK,DTW,816.724055
JFK,FLL,1723.291659
JFK,IAH,2277.898396
JFK,LAS,3609.287509
JFK,LAX,3974.2022
JFK,MCO,1521.390716
JFK,MIA,1757.123943
JFK,MSP,1651.276254
JFK,ORD,1187.837228
JFK,PHX,3458.123837
JFK,SEA,3886.643273
JFK,SLC,3193.606354
LAS,CLT,3076.591945
LAS,DTW,2808.023523
LAS,IAH,1962.791918
LAS,LAX,379.9947983
LAS,MCO,3276.097496
LAS,MIA,3494.158712
LAS,MSP,2087.76866
LAS,ORD,2431.696207
LAS,PHL,3494.418936
LAS,PHX,410.8492267
LAS,SEA,1395.111133
LAS,SLC,591.939415
LAX,ATL,3125.780844
LAX,BOS,4193.034879
LAX,CLT,3412.538899
LAX,DEN,1385.141119
LAX,DFW,1983.177214
LAX,EWR,3941.015735
LAX,FLL,3763.228383
LAX,IAH,2215.076542
LAX,LAS,379.9947983
LAX,MCO,3562.319606
LAX,MIA,3762.633083
LAX,MSP,2467.297583
LAX,ORD,2802.119878
LAX,PHL,3856.320237
LAX,PHX,594.3617022
LAX,SEA,1536.911807
LAX,SLC,949.3176173
MCO,BOS,1805.977257
MCO,CLT,755.2039579
MCO,DTW,1543.649352
MCO,IAH,1372.002301
MCO,MIA,309.9735577
MCO,MSP,2110.440266
MCO,ORD,1620.08537
MCO,PHL,1388.557408
MCO,PHX,2969.692013
MCO,SEA,4104.692265
MCO,SLC,3103.287667
MIA,ATL,959.0658848
MIA,DTW,1847.083048
MIA,EWR,1750.598704
MIA,IAH,1549.407689
MIA,LAS,3494.158712
MIA,MCO,309.9735577
MIA,MSP,2418.078444
MIA,ORD,1930.043009
MIA,PHL,1634.24267
MIA,PHX,3168.272833
MIA,SEA,4379.468034
MIA,SLC,3357.455813
MSP,CLT,1496.075282
MSP,DEN,1092.353974
MSP,DFW,1372.579811
MSP,EWR,1618.727679
MSP,FLL,2396.019411
MSP,IAH,1666.913962
MSP,LAS,2087.76866
MSP,LAX,2467.297583
MSP,MCO,2110.440266
MSP,ORD,536.9960616
