iata,lat,lon,state
BOS,42.36429977,-71.00520325,
PHX,33.43429947,-112.012001,
LAX,33.94250107,-118.4079971,
EWR,40.69250107,-74.16870117,NJ
FLL,26.072599,-80.152702,FL
SLC,40.78839874,-111.9779968,
IAH,29.9843998,-95.34140015,
MIA,25.79319954,-80.29060364,
SEA,47.449001,-122.308998,
DTW,42.21239853,-83.35340118,MI
DFW,32.896801,-97.038002,TX
ATL,33.6367,-84.428101,
DEN,39.86169815,-104.6729965,CO
PHL,39.87189865,-75.2410965,
JFK,40.63980103,-73.77890015,
ORD,41.9786,-87.9048,
MSP,44.882,-93.221802,
CLT,35.2140007,-80.94309998,NC
LAS,36.08010101,-115.1520004,
MCO,28.42939949,-81.30899811,
