algo,src,dst,haul_category,direct_distance_km,runs,mean_time_ms,median_time_ms,min_time_ms,stdev_time_ms,cost_km,hops,expanded_nodes,relaxations,heap_pushes,status
DIJKSTRA,EWR,JFK,short,33.395311074401214,200,0.032794005003324855,0.02942950001738609,0.028763000045728404,0.007621679639490926,622.4850162,2,3,35,20,OK
ASTAR,EWR,JFK,short,33.395311074401214,200,0.05811255999930154,0.05118600000741935,0.04977400004690935,0.01155718117095059,622.4850162,2,3,35,20,OK
DIJKSTRA,JFK,EWR,short,33.395311074401214,200,0.36821596499947873,0.04302950000578676,0.042177000011633936,4.537929098022602,1600.1996783,2,8,107,21,OK
ASTAR,JFK,EWR,short,33.395311074401214,200,0.053225229997906354,0.04922900001247399,0.04829799996741713,0.008273187750236999,1600.1996783,2,3,33,19,OK
DIJKSTRA,FLL,MIA,short,33.99073487630329,200,0.028452580002351624,0.026207500042119136,0.025642999958108703,0.005351666324047145,595.8753487,2,3,21,17,OK
ASTAR,FLL,MIA,short,33.99073487630329,200,0.04856301000017993,0.04483150001988179,0.04355200002237325,0.007138550743873072,595.8753487,2,3,21,17,OK
DIJKSTRA,MIA,FLL,short,33.99073487630329,200,0.3801336150019097,0.04663800001480922,0.04579800003057244,4.6624078740353685,1895.5085392,2,9,119,25,OK
ASTAR,MIA,FLL,short,33.99073487630329,200,0.057148485001619065,0.052358499999627384,0.05125699999553035,0.00891156174012367,1895.5085392,2,4,42,20,OK
DIJKSTRA,PHL,EWR,short,128.8435641706146,200,0.038119564999021804,0.0361209999653056,0.035510999964571965,0.005270022594378846,772.4492224,2,5,62,26,OK
ASTAR,PHL,EWR,short,128.8435641706146,200,0.3837574750031081,0.05713950000085788,0.048847000016394304,4.550433739878052,772.4492224,2,3,29,20,OK
DIJKSTRA,JFK,PHL,short,150.6196043270237,200,0.06215644000320708,0.06155149998221532,0.055230999976174644,0.00682874549274949,1544.7772955,2,7,97,20,OK
ASTAR,JFK,PHL,short,150.6196043270237,200,0.06989664000002449,0.06861450003725622,0.04865599998993275,0.011029176570584309,1544.7772955,2,3,33,19,OK
DIJKSTRA,PHL,JFK,short,150.6196043270237,200,0.35979609499918297,0.03342900001257476,0.03256600001577681,4.541229292134973,750.3209896000001,2,4,46,26,OK
ASTAR,PHL,JFK,short,150.6196043270237,200,0.05792277499949705,0.05666050000741052,0.04887500000450018,0.009443374183613714,750.3209896000001,2,3,29,20,OK
DIJKSTRA,FLL,MCO,short,285.9013961051168,200,0.025276520000545588,0.021990499988078227,0.02140699996289186,0.005846817107658359,285.901791,1,2,10,11,OK
ASTAR,FLL,MCO,short,285.9013961051168,200,0.0391294199991421,0.03421649998358589,0.03321399998412744,0.008082960839137227,285.901791,1,2,10,11,OK
DIJKSTRA,MCO,FLL,short,285.9013961051168,200,0.38189045000081023,0.05552799999009039,0.05478199994968236,4.545176630457541,1774.4792278999998,2,12,168,25,OK
