src,dst,haul_category,direct_distance_km,runs,dijkstra_mean_time_ms,astar_mean_time_ms,dijkstra_median_time_ms,astar_median_time_ms,dijkstra_cost_km,astar_cost_km,cost_equal,cost_diff_km,dijkstra_hops,astar_hops,dijkstra_expanded_nodes,astar_expanded_nodes,expanded_nodes_saved_by_astar,pct_expansion_reduction,dijkstra_relaxations,astar_relaxations,relaxations_saved_by_astar,speedup_mean_d_over_a,speedup_median_d_over_a,mean_time_saved_ms,median_time_saved_ms,pct_time_reduction_mean
EWR,JFK,short,33.395311074401214,200,0.05036599904997274,0.058954000123776495,0.03350002225488424,0.05155001417733729,622.4850162,622.4850162,True,0.0,2,2,3,3,0,0.0,35,35,0,0.8543270845782667,0.6498547631750549,-0.008588001073803753,-0.018049991922453046,-17.051187777061273
JFK,EWR,short,33.395311074401214,200,0.06394899945007637,0.10613399877911434,0.045150023652240634,0.07355000707320869,1600.1996783,1600.1996783,True,0.0,2,2,8,3,5,62.5,107,33,74,0.6025307647473717,0.6138683794727597,-0.042184999329037964,-0.028399983420968056,-65.96662917606851
FLL,MIA,short,33.99073487630329,200,0.05382299976190552,0.06213799904799089,0.04225000157020986,0.05050003528594971,595.8753487,595.8753487,True,0.0,2,2,3,3,0,0.0,21,21,0,0.8661849526299766,0.836633109877545,-0.008314999286085367,-0.008250033715739846,-15.448784576980223
MIA,FLL,short,33.99073487630329,200,0.07446000061463565,0.08769699983531609,0.04874999285675585,0.05505001172423363,1895.5085392,1895.5085392,True,0.0,2,2,9,4,5,55.55555555555556,119,42,77,0.8490598396120977,0.8855582647459376,-0.013236999220680445,-0.006300018867477775,-17.777328916753476
PHL,EWR,short,128.8435641706146,200,0.034714000357780606,0.059981499798595905,0.0344999716617167,0.052099989261478186,772.4492224,772.4492224,True,0.0,2,2,5,3,2,40.0,62,29,33,0.5787451209846743,0.6621876923730072,-0.0252674994408153,-0.017600017599761486,-72.78763375121065
JFK,PHL,short,150.6196043270237,200,0.05044249934144318,0.0497305000317283,0.04160002572461963,0.04770001396536827,1544.7772955,1544.7772955,True,0.0,2,2,7,3,4,57.14285714285714,97,33,64,1.0143171556541886,0.8721176843852199,0.0007119993097148836,-0.006099988240748644,1.4115068028159983
PHL,JFK,short,150.6196043270237,200,0.04378350015031174,0.05683950177626684,0.03440000000409782,0.04850002005696297,750.3209896000001,750.3209896000001,True,0.0,2,2,4,3,1,25.0,46,29,17,0.7703005617933372,0.7092780572811153,-0.013056001625955105,-0.014100020052865148,-29.819456144741665
FLL,MCO,short,285.9013961051168,200,0.02198250003857538,0.03700199944432825,0.022099993657320738,0.03579998156055808,285.901791,285.901791,True,0.0,1,1,2,2,0,0.0,10,10,0,0.5940895186393748,0.6173185765455524,-0.015019499405752867,-0.013699987903237343,-68.32480099804987
MCO,FLL,short,285.9013961051168,200,0.07416449981974438,0.06999900069786236,0.05844997940585017,0.05760003114119172,1774.4792278999998,1774.4792278999998,True,0.0,2,2,12,4,8,66.66666666666666,168,41,127,1.0595079798333353,1.014756038283643,0.004165499121882021,0.0008499482646584511,5.616567403550487
BOS,JFK,short,300.17797708950235,200,0.03738599974894896,0.051255500002298504,0.02719997428357601,0.04980002995580435,300.1783917,300.1783917,True,0.0,1,1,2,2,0,0.0,19,19,0,0.7294046443264123,0.5461838940200431,-0.013869500253349543,-0.022600055672228336,-37.09811251935147
MCO,MIA,short,309.9731294998318,200,0.02586349961347878,0.034847000788431615,0.02174999099224806,0.03459997242316604,309.9735577,309.9735577,True,0.0,1,1,2,2,0,0.0,11,11,0,0.7422015963584692,0.6286129574393993,-0.008983501174952835,-0.012849981430917978,-34.73428309860695
MIA,MCO,short,309.9731294998318,200,0.02818349952576682,0.03984899987699464,0.022100022761151195,0.03679998917505145,309.9735577,309.9735577,True,0.0,1,1,2,2,0,0.0,12,12,0,0.7072573869548362,0.6005442734242407,-0.01166550035122782,-0.014699966413900256,-41.391241497751594
